0.2.262.1.10,Telesec
1.2.752.34.3,SEIS at
1.2.752.34.3.1,SEIS at-personalIdentifier
1.2.840.10040.1,module
1.2.840.10040.1.1,x9f1-cert-mgmt
1.2.840.10040.2,holdinstruction
1.2.840.10040.2.1,holdinstruction-none
1.2.840.10040.2.2,callissuer
1.2.840.10040.2.3,reject
1.2.840.10040.2.4,pickupToken
1.2.840.10040.3,attribute
1.2.840.10040.3.1,countersignature
1.2.840.10040.3.2,attribute-cert
1.2.840.10040.4,algorithm
1.2.840.10040.4.1,dsa
1.2.840.10040.4.2,dsa-match
1.2.840.10040.4.3,dsaWithSha1
1.2.840.10045.1,fieldType
1.2.840.10045.1.1,prime-field
1.2.840.10045.1.2,characteristic-two-field
1.2.840.10045.1.2.3,characteristic-two-basis
1.2.840.10045.1.2.3.1,onBasis
1.2.840.10045.1.2.3.2,tpBasis
1.2.840.10045.1.2.3.3,ppBasis
1.2.840.10045.2,publicKeyType
1.2.840.10045.2.1,ecPublicKey
1.2.840.10046.1,fieldType
1.2.840.10046.1.1,gf-prime
1.2.840.10046.2,numberType
1.2.840.10046.2.1,dhPublicKey
1.2.840.10046.3,scheme
1.2.840.10046.3.1,dhStatic
1.2.840.10046.3.2,dhEphem
1.2.840.10046.3.3,dhHybrid1
1.2.840.10046.3.4,dhHybrid2
1.2.840.10046.3.5,mqv2
1.2.840.10046.3.6,mqv1
1.2.840.10065.2.2,?
1.2.840.10065.2.3,healthcareLicense
1.2.840.10065.2.3.1.1,license?
1.2.840.113533.7,nsn
1.2.840.113533.7.65,nsn-ce
1.2.840.113533.7.65.0,entrustVersInfo
1.2.840.113533.7.66,nsn-alg
1.2.840.113533.7.66.3,cast3CBC
1.2.840.113533.7.66.10,cast5CBC
1.2.840.113533.7.66.11,cast5MAC
1.2.840.113533.7.66.12,pbeWithMD5AndCAST5-CBC
1.2.840.113533.7.66.13,passwordBasedMac
1.2.840.113533.7.67,nsn-oc
1.2.840.113533.7.67.0,entrustUser
1.2.840.113533.7.68,nsn-at
1.2.840.113533.7.68.0,entrustCAInfo
1.2.840.113533.7.68.10,attributeCertificate
1.2.840.113549.1.1,pkcs-1
1.2.840.113549.1.1.1,rsaEncryption
1.2.840.113549.1.1.2,md2withRSAEncryption
1.2.840.113549.1.1.3,md4withRSAEncryption
1.2.840.113549.1.1.4,md5withRSAEncryption
1.2.840.113549.1.1.5,sha1withRSAEncryption
1.2.840.113549.1.1.7,rsaOAEP
1.2.840.113549.1.1.8,rsaOAEP-MGF
1.2.840.113549.1.1.9,rsaOAEP-pSpecified
1.2.840.113549.1.1.10,rsaPSS
1.2.840.113549.1.1.11,sha256WithRSAEncryption
1.2.840.113549.1.1.12,sha384WithRSAEncryption
1.2.840.113549.1.1.13,sha512WithRSAEncryption
1.2.840.113549.1.1.6,rsaOAEPEncryptionSET
1.2.840.113549.1.2,bsafeRsaEncr
1.2.840.113549.1.3.1,dhKeyAgreement
1.2.840.113549.1.5.1,pbeWithMD2AndDES-CBC
1.2.840.113549.1.5.3,pbeWithMD5AndDES-CBC
1.2.840.113549.1.5.4,pbeWithMD2AndRC2-CBC
1.2.840.113549.1.5.6,pbeWithMD5AndRC2-CBC
1.2.840.113549.1.5.9,pbeWithMD5AndXOR
1.2.840.113549.1.5.10,pbeWithSHAAndDES-CBC
1.2.840.113549.1.5.12,pkcs5PBKDF2
1.2.840.113549.1.5.13,pkcs5PBES2
1.2.840.113549.1.5.14,pkcs5PBMAC1
1.2.840.113549.1.7.1,data
1.2.840.113549.1.7.2,signedData
1.2.840.113549.1.7.3,envelopedData
1.2.840.113549.1.7.4,signedAndEnvelopedData
1.2.840.113549.1.7.5,digestedData
1.2.840.113549.1.7.6,encryptedData
1.2.840.113549.1.7.7,dataWithAttributes
1.2.840.113549.1.7.8,encryptedPrivateKeyInfo
1.2.840.113549.1.9,pkcs-9
1.2.840.113549.1.9.1,emailAddress
1.2.840.113549.1.9.2,unstructuredName
1.2.840.113549.1.9.3,contentType
1.2.840.113549.1.9.4,messageDigest
1.2.840.113549.1.9.5,signingTime
1.2.840.113549.1.9.6,countersignature
1.2.840.113549.1.9.7,challengePassword
1.2.840.113549.1.9.8,unstructuredAddress
1.2.840.113549.1.9.9,extendedCertificateAttributes
1.2.840.113549.1.9.10,issuerAndSerialNumber
1.2.840.113549.1.9.11,passwordCheck
1.2.840.113549.1.9.12,publicKey
1.2.840.113549.1.9.13,signingDescription
1.2.840.113549.1.9.14,extensionRequest
1.2.840.113549.1.9.15,sMIMECapabilities
1.2.840.113549.1.9.15.1,preferSignedData
1.2.840.113549.1.9.15.2,canNotDecryptAny
1.2.840.113549.1.9.15.3,receiptRequest
1.2.840.113549.1.9.15.4,receipt
1.2.840.113549.1.9.15.5,contentHints
1.2.840.113549.1.9.15.6,mlExpansionHistory
1.2.840.113549.1.9.16,id-sMIME
1.2.840.113549.1.9.16.0,id-mod
1.2.840.113549.1.9.16.0.1,id-mod-cms
1.2.840.113549.1.9.16.0.2,id-mod-ess
1.2.840.113549.1.9.16.0.3,id-mod-oid
1.2.840.113549.1.9.16.0.4,id-mod-msg-v3
1.2.840.113549.1.9.16.0.5,id-mod-ets-eSignature-88
1.2.840.113549.1.9.16.0.6,id-mod-ets-eSignature-97
1.2.840.113549.1.9.16.0.7,id-mod-ets-eSigPolicy-88
1.2.840.113549.1.9.16.0.8,id-mod-ets-eSigPolicy-88
1.2.840.113549.1.9.16.1,contentType
1.2.840.113549.1.9.16.1.1,receipt
1.2.840.113549.1.9.16.1.2,authData
1.2.840.113549.1.9.16.1.3,publishCert
1.2.840.113549.1.9.16.1.4,tSTInfo
1.2.840.113549.1.9.16.1.5,tDTInfo
1.2.840.113549.1.9.16.1.6,contentInfo
1.2.840.113549.1.9.16.1.7,dVCSRequestData
1.2.840.113549.1.9.16.1.8,dVCSResponseData
1.2.840.113549.1.9.16.1.9,compressedData
1.2.840.113549.1.9.16.2,authenticatedAttributes
1.2.840.113549.1.9.16.2.1,receiptRequest
1.2.840.113549.1.9.16.2.2,securityLabel
1.2.840.113549.1.9.16.2.3,mlExpandHistory
1.2.840.113549.1.9.16.2.4,contentHint
1.2.840.113549.1.9.16.2.5,msgSigDigest
1.2.840.113549.1.9.16.2.6,encapContentType
1.2.840.113549.1.9.16.2.7,contentIdentifier
1.2.840.113549.1.9.16.2.8,macValue
1.2.840.113549.1.9.16.2.9,equivalentLabels
1.2.840.113549.1.9.16.2.10,contentReference
1.2.840.113549.1.9.16.2.11,encrypKeyPref
1.2.840.113549.1.9.16.2.12,signingCertificate
1.2.840.113549.1.9.16.2.13,smimeEncryptCerts
1.2.840.113549.1.9.16.2.14,timeStampToken
1.2.840.113549.1.9.16.2.15,ets-sigPolicyId
1.2.840.113549.1.9.16.2.16,ets-commitmentType
1.2.840.113549.1.9.16.2.17,ets-signerLocation
1.2.840.113549.1.9.16.2.18,ets-signerAttr
1.2.840.113549.1.9.16.2.19,ets-otherSigCert
1.2.840.113549.1.9.16.2.20,ets-contentTimestamp
1.2.840.113549.1.9.16.2.21,ets-CertificateRefs
1.2.840.113549.1.9.16.2.22,ets-RevocationRefs
1.2.840.113549.1.9.16.2.23,ets-certValues
1.2.840.113549.1.9.16.2.24,ets-revocationValues
1.2.840.113549.1.9.16.2.25,ets-escTimeStamp
1.2.840.113549.1.9.16.2.26,ets-certCRLTimestamp
1.2.840.113549.1.9.16.2.27,ets-archiveTimeStamp
1.2.840.113549.1.9.16.2.28,signatureType
1.2.840.113549.1.9.16.2.29,dvcs-dvc
1.2.840.113549.1.9.16.3.1,algESDHwith3DES
1.2.840.113549.1.9.16.3.2,algESDHwithRC2
1.2.840.113549.1.9.16.3.3,alg3DESwrap
1.2.840.113549.1.9.16.3.4,algRC2wrap
1.2.840.113549.1.9.16.3.5,esDH
1.2.840.113549.1.9.16.3.6,cms3DESwrap
1.2.840.113549.1.9.16.3.7,cmsRC2wrap
1.2.840.113549.1.9.16.3.8,zlib
1.2.840.113549.1.9.16.3.9,pwri-KEK
1.2.840.113549.1.9.16.4.1,certDist-ldap
1.2.840.113549.1.9.16.5.1,sigPolicyQualifier-ets-sqt-uri
1.2.840.113549.1.9.16.5.2,sigPolicyQualifier-ets-sqt-unotice
1.2.840.113549.1.9.16.6.1,id-cti-ets-proofOfOrigin
1.2.840.113549.1.9.16.6.2,id-cti-ets-proofOfReceipt
1.2.840.113549.1.9.16.6.3,id-cti-ets-proofOfDelivery
1.2.840.113549.1.9.16.6.4,id-cti-ets-proofOfSender
1.2.840.113549.1.9.16.6.5,id-cti-ets-proofOfApproval
1.2.840.113549.1.9.16.6.6,id-cti-ets-proofOfCreation
1.2.840.113549.1.9.15,sMIMECapabilities
1.2.840.113549.1.9.16.9,signatureTypeIdentifier
1.2.840.113549.1.9.16.9.1,originatorSig
1.2.840.113549.1.9.16.9.2,domainSig
1.2.840.113549.1.9.16.9.3,additionalAttributesSig
1.2.840.113549.1.9.16.9.4,reviewSig
1.2.840.113549.1.9.16.11,capabilities
1.2.840.113549.1.9.16.11.1,preferBinaryInside
1.2.840.113549.1.9.20,friendlyName (for PKCS #12)
1.2.840.113549.1.9.21,localKeyID (for PKCS #12)
1.2.840.113549.1.9.22,certTypes (for PKCS #12)
1.2.840.113549.1.9.22.1,x509Certificate (for PKCS #12)
1.2.840.113549.1.9.22.2,sdsiCertificate (for PKCS #12)
1.2.840.113549.1.9.23,crlTypes (for PKCS #12)
1.2.840.113549.1.9.23.1,x509Crl (for PKCS #12)
1.2.840.113549.1.9.24,pkcs9objectClass
1.2.840.113549.1.9.25,pkcs9attributes
1.2.840.113549.1.9.25.1,pkcs15Token
1.2.840.113549.1.9.25.2,encryptedPrivateKeyInfo
1.2.840.113549.1.9.25.3,randomNonce
1.2.840.113549.1.9.25.4,sequenceNumber
1.2.840.113549.1.9.25.5,pkcs7PDU
1.2.840.113549.1.9.1A,pkcs9syntax
1.2.840.113549.1.9.1B,pkcs9matchingRules
1.2.840.113549.1.12,pkcs-12
1.2.840.113549.1.12.1,pkcs-12-PbeIds
1.2.840.113549.1.12.1.1,pbeWithSHAAnd128BitRC4
1.2.840.113549.1.12.1.2,pbeWithSHAAnd40BitRC4
1.2.840.113549.1.12.1.3,pbeWithSHAAnd3-KeyTripleDES-CBC
1.2.840.113549.1.12.1.4,pbeWithSHAAnd2-KeyTripleDES-CBC
1.2.840.113549.1.12.1.5,pbeWithSHAAnd128BitRC2-CBC
1.2.840.113549.1.12.1.6,pbeWithSHAAnd40BitRC2-CBC
1.2.840.113549.1.12.2,pkcs-12-ESPVKID
1.2.840.113549.1.12.2.1,pkcs-12-PKCS8KeyShrouding
1.2.840.113549.1.12.3,pkcs-12-BagIds
1.2.840.113549.1.12.3.1,pkcs-12-keyBagId
1.2.840.113549.1.12.3.2,pkcs-12-certAndCRLBagId
1.2.840.113549.1.12.3.3,pkcs-12-secretBagId
1.2.840.113549.1.12.3.4,pkcs-12-safeContentsId
1.2.840.113549.1.12.3.5,pkcs-12-pkcs-8ShroudedKeyBagId
1.2.840.113549.1.12.4,pkcs-12-CertBagID
1.2.840.113549.1.12.4.1,pkcs-12-X509CertCRLBagID
1.2.840.113549.1.12.4.2,pkcs-12-SDSICertBagID
1.2.840.113549.1.12.5.1,pkcs-12-PBEID
1.2.840.113549.1.12.5.1.1,pkcs-12-PBEWithSha1And128BitRC4
1.2.840.113549.1.12.5.1.2,pkcs-12-PBEWithSha1And40BitRC4
1.2.840.113549.1.12.5.1.3,pkcs-12-PBEWithSha1AndTripleDESCBC
1.2.840.113549.1.12.5.1.4,pkcs-12-PBEWithSha1And128BitRC2CBC
1.2.840.113549.1.12.5.1.5,pkcs-12-PBEWithSha1And40BitRC2CBC
1.2.840.113549.1.12.5.1.6,pkcs-12-PBEWithSha1AndRC4
1.2.840.113549.1.12.5.1.7,pkcs-12-PBEWithSha1AndRC2CBC
1.2.840.113549.1.12.5.2.1,pkcs-12-RSAEncryptionWith128BitRC4
1.2.840.113549.1.12.5.2.2,pkcs-12-RSAEncryptionWith40BitRC4
1.2.840.113549.1.12.5.2.3,pkcs-12-RSAEncryptionWithTripleDES
1.2.840.113549.1.12.5.3.1,pkcs-12-RSASignatureWithSHA1Digest
1.2.840.113549.1.12.10.1.1,pkcs-12-keyBag
1.2.840.113549.1.12.10.1.2,pkcs-12-pkcs-8ShroudedKeyBag
1.2.840.113549.1.12.10.1.3,pkcs-12-certBag
1.2.840.113549.1.12.10.1.4,pkcs-12-crlBag
1.2.840.113549.1.12.10.1.5,pkcs-12-secretBag
1.2.840.113549.1.12.10.1.6,pkcs-12-safeContentsBag
1.2.840.113549.1.15.1,pkcs15modules
1.2.840.113549.1.15.2,pkcs15attributes
1.2.840.113549.1.15.3,pkcs15contentType
1.2.840.113549.1.15.3.1,pkcs15content
1.2.840.113549.2.2,md2
1.2.840.113549.2.4,md4
1.2.840.113549.2.5,md5
1.2.840.113549.2.7,hmacWithSHA1
1.2.840.113549.3.2,rc2CBC
1.2.840.113549.3.3,rc2ECB
1.2.840.113549.3.4,rc4
1.2.840.113549.3.5,rc4WithMAC
1.2.840.113549.3.6,desx-CBC
1.2.840.113549.3.7,des-EDE3-CBC
1.2.840.113549.3.8,rc5CBC
1.2.840.113549.3.9,rc5-CBCPad
1.2.840.113549.3.10,desCDMF
1.2.840.114021.1.6.1,Identrus unknown policyIdentifier
1.2.840.114021.4.1,identrusOCSP
1.2.840.113556.1.3.00,site-Addressing
1.2.840.113556.1.3.13,classSchema
1.2.840.113556.1.3.14,attributeSchema
1.2.840.113556.1.3.174,mailbox-Agent
1.2.840.113556.1.3.22,mailbox
1.2.840.113556.1.3.23,container
1.2.840.113556.1.3.46,mailRecipient
1.2.840.113556.1.2.241,deliveryMechanism
1.2.840.113556.4.3,microsoftExcel
1.2.840.113556.4.4,titledWithOID
1.2.840.113556.4.5,microsoftPowerPoint
1.3.6.1.4.1.311.2.1.4,spcIndirectDataContext
1.3.6.1.4.1.311.2.1.10,spcAgencyInfo
1.3.6.1.4.1.311.2.1.11,spcStatementType
1.3.6.1.4.1.311.2.1.12,spcSpOpusInfo
1.3.6.1.4.1.311.2.1.14,certReqExtensions
1.3.6.1.4.1.311.2.1.15,spcPEImageData
1.3.6.1.4.1.311.2.1.18,spcRawFileData
1.3.6.1.4.1.311.2.1.19,spcStructuredStorageData
1.3.6.1.4.1.311.2.1.20,spcJavaClassData (type 1)
1.3.6.1.4.1.311.2.1.21,individualCodeSigning
1.3.6.1.4.1.311.2.1.22,commercialCodeSigning
1.3.6.1.4.1.311.2.1.25,spcLink (type 2)
1.3.6.1.4.1.311.2.1.26,spcMinimalCriteriaInfo
1.3.6.1.4.1.311.2.1.27,spcFinancialCriteriaInfo
1.3.6.1.4.1.311.2.1.28,spcLink (type 3)
1.3.6.1.4.1.311.3.2.1,timestampRequest
1.3.6.1.4.1.311.10.1,certTrustList
1.3.6.1.4.1.311.10.2,nextUpdateLocation
1.3.6.1.4.1.311.10.3.1,certTrustListSigning
1.3.6.1.4.1.311.10.3.2,timeStampSigning
1.3.6.1.4.1.311.10.3.3,serverGatedCrypto
1.3.6.1.4.1.311.10.3.4,encryptedFileSystem
1.3.6.1.4.1.311.10.4.1,yesnoTrustAttr
1.3.6.1.4.1.311.13.2.2,enrolmentCSP
1.3.6.1.4.1.311.13.2.3,osVersion
1.3.6.1.4.1.311.16.4,microsoftRecipientInfo
1.3.6.1.4.1.311.21.1,cAKeyCertIndexPair
1.3.6.1.4.1.311.88.2.1,originalFilename
1.3.6.1.4.1.188.7.1.1,ascom
1.3.6.1.4.1.188.7.1.1.1,ideaECB
1.3.6.1.4.1.188.7.1.1.2,ideaCBC
1.3.6.1.4.1.188.7.1.1.3,ideaCFB
1.3.6.1.4.1.188.7.1.1.4,ideaOFB
1.3.6.1.4.1.2428.10.1.1,UNINETT policyIdentifier
1.3.6.1.4.1.2712.10,ICE-TEL policyIdentifier
1.3.6.1.4.1.2786.1.1.1,ICE-TEL Italian policyIdentifier
1.3.6.1.4.1.3029.1.1.1,blowfishECB
1.3.6.1.4.1.3029.1.1.2,blowfishCBC
1.3.6.1.4.1.3029.1.1.3,blowfishCFB
1.3.6.1.4.1.3029.1.1.4,blowfishOFB
1.3.6.1.4.1.3029.1.2.1,elgamal
1.3.6.1.4.1.3029.1.2.1.1,elgamalWithSHA-1
1.3.6.1.4.1.3029.1.2.1.2,elgamalWithRIPEMD-160
1.3.6.1.4.1.3029.3.1.1,cryptlibPresenceCheck
1.3.6.1.4.1.3029.3.1.2,ocspResponseRTCS
1.3.6.1.4.1.3029.3.1.3,ocspResponseRTCSExtended
1.3.6.1.4.1.3029.3.1.4,crlExtReason
1.3.6.1.4.1.3029.3.1.5,keyFeatures
1.3.6.1.4.1.3029.3.1.6,pkiBoot
1.3.6.1.4.1.3029.4.1,cryptlibContent
1.3.6.1.4.1.3029.4.1.1,cryptlibConfigData
1.3.6.1.4.1.3029.4.1.2,cryptlibUserIndex
1.3.6.1.4.1.3029.4.1.3,cryptlibUserInfo
1.3.6.1.4.1.3029.42.11172.1,mpeg-1
1.3.6.1.4.1.3029.88.89.90.90.89,xYZZY policyIdentifier
1.3.6.1.4.1.3576.7,eciaAscX12Edi
1.3.6.1.4.1.3576.7.1,plainEDImessage
1.3.6.1.4.1.3576.7.2,signedEDImessage
1.3.6.1.4.1.3576.7.5,integrityEDImessage
1.3.6.1.4.1.3576.7.65,iaReceiptMessage
1.3.6.1.4.1.3576.7.97,iaStatusMessage
1.3.6.1.4.1.3576.8,eciaEdifact
1.3.6.1.4.1.3576.9,eciaNonEdi
1.3.6.1.4.1.5472,timeproof
1.3.6.1.4.1.5472.1,tss
1.3.6.1.4.1.5472.1.1,tss80
1.3.6.1.4.1.5472.1.2,tss380
1.3.6.1.4.1.5472.1.3,tss400
1.3.6.1.4.1.5770.0.3,secondaryPractices
1.3.6.1.4.1.5770.0.4,physicianIdentifiers
1.3.6.1.4.1.6449.1.2.1.3.1,comodoPolicy
1.3.6.1.4.1.8231.1,rolUnicoNacional
1.3.6.1.4.1.11591,gnu
1.3.6.1.4.1.11591.1,gnu-radius
1.3.6.1.4.1.11591.3,gnu-radar
1.3.6.1.4.1.11591.12,gnuDigestAlgorithm
1.3.6.1.4.1.11591.12.2,tiger
1.3.6.1.4.1.11591.13,gnuEncryptionAlgorithm
1.3.6.1.4.1.11591.13.2,serpent
1.3.6.1.4.1.11591.13.2.1,serpent128-ECB
1.3.6.1.4.1.11591.13.2.2,serpent128-CBC
1.3.6.1.4.1.11591.13.2.3,serpent128-OFB
1.3.6.1.4.1.11591.13.2.4,serpent128-CFB
1.3.6.1.4.1.11591.13.2.21,serpent192-ECB
1.3.6.1.4.1.11591.13.2.22,serpent192-CBC
1.3.6.1.4.1.11591.13.2.23,serpent192-OFB
1.3.6.1.4.1.11591.13.2.24,serpent192-CFB
1.3.6.1.4.1.11591.13.2.41,serpent256-ECB
1.3.6.1.4.1.11591.13.2.42,serpent256-CBC
1.3.6.1.4.1.11591.13.2.43,serpent256-OFB
1.3.6.1.4.1.11591.13.2.44,serpent256-CFB
1.3.6.1.5.5.7,pkix
1.3.6.1.5.5.7.0.12,attributeCert
1.3.6.1.5.5.7.1,privateExtension
1.3.6.1.5.5.7.1.1,authorityInfoAccess
1.3.6.1.5.5.7.1.2,biometricInfo
1.3.6.1.5.5.7.1.3,qcStatements
1.3.6.1.5.5.7.1.4,acAuditIdentity
1.3.6.1.5.5.7.1.5,acTargeting
1.3.6.1.5.5.7.1.6,acAaControls
1.3.6.1.5.5.7.1.7,sbgp-ipAddrBlock
1.3.6.1.5.5.7.1.8,sbgp-autonomousSysNum
1.3.6.1.5.5.7.1.9,sbgp-routerIdentifier
1.3.6.1.5.5.7.1.10,acProxying
1.3.6.1.5.5.7.1.11,subjectInfoAccess
1.3.6.1.5.5.7.2,policyQualifierIds
1.3.6.1.5.5.7.2.1,cps
1.3.6.1.5.5.7.2.2,unotice
1.3.6.1.5.5.7.2.3,textNotice
1.3.6.1.5.5.7.3,keyPurpose
1.3.6.1.5.5.7.3.1,serverAuth
1.3.6.1.5.5.7.3.2,clientAuth
1.3.6.1.5.5.7.3.3,codeSigning
1.3.6.1.5.5.7.3.4,emailProtection
1.3.6.1.5.5.7.3.5,ipsecEndSystem
1.3.6.1.5.5.7.3.6,ipsecTunnel
1.3.6.1.5.5.7.3.7,ipsecUser
1.3.6.1.5.5.7.3.8,timeStamping
1.3.6.1.5.5.7.3.9,ocspSigning
1.3.6.1.5.5.7.3.10,dvcs
1.3.6.1.5.5.7.3.11,sbgpCertAAServerAuth
1.3.6.1.5.5.7.3.13,eapOverPPP
1.3.6.1.5.5.7.3.14,wlanSSID
1.3.6.1.5.5.7.4,cmpInformationTypes
1.3.6.1.5.5.7.4.1,caProtEncCert
1.3.6.1.5.5.7.4.2,signKeyPairTypes
